financial_year,total_serious_accidents,total_hpi_count,total_million_hours,avg_safr,avg_hpifr,peak_safr,peak_hpifr,months_reported,safr_12mth_annual,hpifr_12mth_annual,ore_throughput_tonnes,recovery_rate_pct,sa_per_million_tonnes,hpi_per_million_tonnes,hpi_to_sa_ratio
2012-13,5,157,15.51,0.326,10.181,0.828,15.81,12,0.322311359219233,10.120576679483916,,,,,31.4
2013-14,4,118,14.41,0.281,8.187,0.969,12.259,12,0.2775880733173947,8.188848162863144,,,,,29.5
2014-15,2,137,11.84,0.156,11.552,1.08,16.204,12,0.16892322760259593,11.57124109077782,,,,,68.5
2015-16,2,146,9.89,0.179,14.887,1.13,22.529,12,0.20219108412129724,14.7599491408547,,,,,73.0
2016-17,2,159,10.23,0.203,15.701,1.22,24.118,12,0.1955741568309164,15.548145468057854,,,,,79.5
2017-18,6,174,14.98,0.413,11.763,2.668,17.783,12,0.4004752306069869,11.613781687602621,,,,,29.0
2018-19,2,180,13.63,0.142,13.299,0.981,21.577,12,0.14678683615653348,13.210815254088013,,,,,90.0
2019-20,6,169,13.07,0.491,13.027,1.844,18.129,12,0.45889799775920104,12.925626936884163,,,,,28.2
2020-21,8,144,11.19,0.74,13.141,3.558,24.403,12,0.7147310810906188,12.865159459631139,,,,,18.0
2021-22,14,181,11.25,1.188,16.268,3.903,20.675,12,1.2446247767454315,16.09122032792308,8951016.0,96.4,1.564,20.221,12.9
2022-23,10,200,12.07,0.802,16.9,3.255,23.418,12,0.8286944399740982,16.573888799481963,14642594.0,98.14,0.683,13.659,20.0
2023-24,18,229,12.57,1.459,18.51,3.19,30.768,12,1.4324118566318964,18.223461953816905,13515493.0,53.87,1.332,16.944,12.7
2024-25,10,180,12.44,0.799,14.501,2.03,25.486,12,0.8039189195096907,14.470540551174434,,,,,18.0
2025-26,2,95,6.62,0.29,14.451,0.884,16.924,6,,,,,,,47.5
